# ----------------------------------------,,,,,"https://analytics.google.com/analytics/web/#/report/conversions-ecommerce-transaction/a203531w84011461p149197394/_u.date00=20181001&_u.date01=20181031&explorer-table.secSegmentId=analytics.medium&explorer-table.plotKeys=%5B%5D&explorer-table.rowCount=5000&explorer-table.advFilter=%5B%5B0,%22analytics.medium%22,%22PT%22,%22cpc%22,0%5D,%5B1,%22analytics.transactionRevenue%22,%22LT%22,%22100%22,0%5D%5D"
# Master View,,,,,
# Transactions,,,,,
# 20181001-20181031,,,,,
# ----------------------------------------,,,,,
,,,,,
Transaction ID,Medium,Revenue,Tax,Shipping,Quantity
03J18429S4616322P,cpc,£50.00,£12.50,£0.00,1
04D20454EY477301N,cpc,£50.00,£12.50,£0.00,1
04W37839E29971646,cpc,£50.00,£0.00,£0.00,1
05K2705279396915V,cpc,£50.00,£12.50,£0.00,1
05R564830G3718442,cpc,£50.00,£12.50,£0.00,1
05W91499A9447354B,cpc,£50.00,£12.50,£0.00,1
06P44101CT896541G,cpc,£50.00,£12.50,£0.00,1
06R9996234606142N,cpc,£50.00,£0.00,£0.00,1
07D05956S5849302A,cpc,£50.00,£12.50,£0.00,1
07M892000G8902031,cpc,£50.00,£12.50,£0.00,1
07V73923EY038673R,cpc,£50.00,£12.50,£0.00,1
07W362135M098502J,cpc,£50.00,£12.50,£0.00,1
084323296W693815F,cpc,£50.00,£12.50,£0.00,1
08L42959RH692760G,cpc,£50.00,£12.50,£0.00,1
08R16064DK598032B,cpc,£50.00,£12.50,£0.00,1
09R87975DJ385944L,cpc,£50.00,£12.50,£0.00,1
0B087056FA7004039,cpc,£50.00,£12.50,£0.00,1
0C117038GC895014L,cpc,£50.00,£12.50,£0.00,1
0DK39973JF5643307,cpc,£50.00,£12.50,£0.00,1
0DS34796L60887509,cpc,£50.00,£12.50,£0.00,1
0DV13278EF897741F,cpc,£50.00,£12.50,£0.00,1
0EP239539D310770R,cpc,£50.00,£12.50,£0.00,1
0F057190E2738610D,cpc,£50.00,£0.00,£0.00,1
0FB47354WT118824T,cpc,£50.00,£12.50,£0.00,1
0HT194881P058993E,cpc,£50.00,£12.50,£0.00,1
0HV059499E980501H,cpc,£50.00,£12.50,£0.00,1
0JB1415286920181M,cpc,£50.00,£12.50,£0.00,1
0JM89789K66462126,cpc,£50.00,£12.50,£0.00,1
0K146744P44235114,cpc,£50.00,£12.50,£0.00,1
0KD71930KM8084839,cpc,£50.00,£12.50,£0.00,1
0KT86408A5362340G,cpc,£50.00,£12.50,£0.00,1
0LM28207R8791722G,cpc,£50.00,£12.50,£0.00,1
0M3144946T2652448,cpc,£50.00,£12.50,£0.00,1
0M373211UP524493C,cpc,£50.00,£12.50,£0.00,1
0MB181610U346880H,cpc,£50.00,£12.50,£0.00,1
0N573886X1524243J,cpc,£50.00,£12.50,£0.00,1
0NA39212RP7556525,cpc,£50.00,£12.50,£0.00,1
0PD72075UL4921433,cpc,£50.00,£12.50,£0.00,1
0RP89092R1226024X,cpc,£50.00,£0.00,£0.00,1
0RR03549SK5485918,cpc,£50.00,£12.50,£0.00,1
0S702803RM9965504,cpc,£50.00,£0.00,£0.00,1
0T454551YT7787458,cpc,£50.00,£12.50,£0.00,1
0TH8631942199812K,cpc,£50.00,£12.50,£0.00,1
0U603326G3771241W,cpc,£50.00,£12.50,£0.00,1
0V314284YC738814S,cpc,£50.00,£12.50,£0.00,1
0VM397495S109905B,cpc,£50.00,£0.00,£0.00,1
0VN47884TR757345U,cpc,£50.00,£12.50,£0.00,1
0VS62169F6846024P,cpc,£50.00,£12.50,£0.00,1
0XF35248G4251362U,cpc,£50.00,£12.50,£0.00,1
0Y4434313F546701D,cpc,£50.00,£12.50,£0.00,1
0YG269980F165444A,cpc,£50.00,£12.50,£0.00,1
10M62770A7956425H,cpc,£50.00,£12.50,£0.00,1
12820607YX064971S,cpc,£50.00,£12.50,£0.00,1
12V866706U982162B,cpc,£50.00,£12.50,£0.00,1
137034385P920294R,cpc,£50.00,£12.50,£0.00,1
13728793XE5306223,cpc,£50.00,£12.50,£0.00,1
13E40702MD7451624,cpc,£50.00,£12.50,£0.00,1
13W77207WR5525919,cpc,£50.00,£12.50,£0.00,1
14458284FM399422K,cpc,£50.00,£12.50,£0.00,1
14787170CN264562B,cpc,£50.00,£12.50,£0.00,1
14X187338X327080D,cpc,£50.00,£12.50,£0.00,1
16N57093XK819602A,cpc,£50.00,£12.50,£0.00,1
17630813UA143080D,cpc,£50.00,£12.50,£0.00,1
18B12106VD846045R,cpc,£50.00,£12.50,£0.00,1
19Y45125R91572153,cpc,£50.00,£12.50,£0.00,1
1A005914TM450870N,cpc,£50.00,£12.50,£0.00,1
1AX093940M706682G,cpc,£50.00,£12.50,£0.00,1
1B889052UW615415P,cpc,£50.00,£12.50,£0.00,1
1BC7945410413832U,cpc,£50.00,£12.50,£0.00,1
1BH5309891868452B,cpc,£50.00,£12.50,£0.00,1
1C5623202B5181453,cpc,£50.00,£12.50,£0.00,1
1CX03501PX610393Y,cpc,£50.00,£0.00,£0.00,1
1D481454RD587470M,cpc,£50.00,£12.50,£0.00,1
1F567338GJ057710A,cpc,£50.00,£12.50,£0.00,1
1GG9795104644640B,cpc,£50.00,£12.50,£0.00,1
1HL35363SX806382X,cpc,£50.00,£12.50,£0.00,1
1JG15331MS860711M,cpc,£50.00,£12.50,£0.00,1
1KM752021E191894D,cpc,£50.00,£12.50,£0.00,1
1KS574286W215211T,cpc,£50.00,£12.50,£0.00,1
1LB78330RY755462B,cpc,£50.00,£12.50,£0.00,1
1MC91670C3365170N,cpc,£50.00,£12.50,£0.00,1
1ND00519S9148963L,cpc,£50.00,£12.50,£0.00,1
1P074058TS6853828,cpc,£50.00,£12.50,£0.00,1
1P757043E6714011G,cpc,£50.00,£12.50,£0.00,1
1PG54806YT868205P,cpc,£50.00,£12.50,£0.00,1
1S564619FU051234W,cpc,£50.00,£12.50,£0.00,1
1SG724353L764112C,cpc,£50.00,£0.00,£0.00,1
1SJ16711CJ207640G,cpc,£50.00,£12.50,£0.00,1
1SN7694229291211G,cpc,£50.00,£12.50,£0.00,1
1T703181AC247313F,cpc,£50.00,£12.50,£0.00,1
1TE086481F7513600,cpc,£50.00,£12.50,£0.00,1
1TG66043R7875013N,cpc,£50.00,£12.50,£0.00,1
1TM80254YN852553M,cpc,£50.00,£12.50,£0.00,1
1TN34371ES439621M,cpc,£50.00,£12.50,£0.00,1
1VK06613W4220393W,cpc,£50.00,£12.50,£0.00,1
1WN93960TX427844R,cpc,£50.00,£12.50,£0.00,1
1WT17432L1349900D,cpc,£50.00,£0.00,£0.00,1
1XP00830EY4665813,cpc,£50.00,£12.50,£0.00,1
1XS17212TH3702711,cpc,£50.00,£12.50,£0.00,1
1XW37545VG545415V,cpc,£50.00,£12.50,£0.00,1
1Y277248NJ708523C,cpc,£50.00,£0.00,£0.00,1
1YB57687K6782443K,cpc,£50.00,£12.50,£0.00,1
21B60581DS8261211,cpc,£50.00,£12.50,£0.00,1
22E51666CP270482T,cpc,£50.00,£0.00,£0.00,1
22J133207H257792B,cpc,£50.00,£12.50,£0.00,1
22V0880626812810R,cpc,£50.00,£12.50,£0.00,1
23862266NK437162N,cpc,£50.00,£12.50,£0.00,1
23B5689512542012E,cpc,£50.00,£12.50,£0.00,1
24633789JE720442F,cpc,£50.00,£12.50,£0.00,1
24F55389DA9923334,cpc,£50.00,£12.50,£0.00,1
25L97950X2559520J,cpc,£50.00,£12.50,£0.00,1
2682361525055442N,cpc,£50.00,£12.50,£0.00,1
2713094436820413G,cpc,£50.00,£12.50,£0.00,1
27437163X5348254R,cpc,£50.00,£12.50,£0.00,1
27D59891DW842622K,cpc,£50.00,£12.50,£0.00,1
28J77977FH634233D,cpc,£50.00,£0.00,£0.00,1
29B16853K7581901X,cpc,£50.00,£12.50,£0.00,1
29T3233518669650R,cpc,£50.00,£12.50,£0.00,1
2AA200056R3821949,cpc,£50.00,£0.00,£0.00,1
2AJ89702GR453013X,cpc,£50.00,£0.00,£0.00,1
2B927226NM615134U,cpc,£50.00,£12.50,£0.00,1
2BN09611AD217745C,cpc,£50.00,£12.50,£0.00,1
2C634901VB447733Y,cpc,£50.00,£0.00,£0.00,1
2C738162R9569793R,cpc,£50.00,£0.00,£0.00,1
2CM25430EP0045024,cpc,£50.00,£12.50,£0.00,1
2CX96981560590129,cpc,£50.00,£12.50,£0.00,1
2DV18194WR6502330,cpc,£50.00,£0.00,£0.00,1
2EM0404399147244X,cpc,£50.00,£12.50,£0.00,1
2EU83366AM9122936,cpc,£50.00,£12.50,£0.00,1
2EX896964K621492C,cpc,£50.00,£12.50,£0.00,1
2G707469BA514234W,cpc,£50.00,£12.50,£0.00,1
2GF47157VT424972G,cpc,£50.00,£12.50,£0.00,1
2GW88388YM072841V,cpc,£50.00,£12.50,£0.00,1
2GX15797Y54367159,cpc,£50.00,£0.00,£0.00,1
2H886752SK537053B,cpc,£50.00,£12.50,£0.00,1
2HE07672988104147,cpc,£50.00,£12.50,£0.00,1
2HF18530P0179910P,cpc,£50.00,£12.50,£0.00,1
2KC28008TG2716508,cpc,£50.00,£12.50,£0.00,1
2KF42019NF123374X,cpc,£50.00,£12.50,£0.00,1
2LB40938Y1215415S,cpc,£50.00,£0.00,£0.00,1
2N743966L73823549,cpc,£50.00,£12.50,£0.00,1
2NB17086YY1429150,cpc,£50.00,£12.50,£0.00,1
2NJ47770Y3570254F,cpc,£50.00,£12.50,£0.00,1
2R8730434H241582U,cpc,£50.00,£12.50,£0.00,1
2RF69580LJ8429439,cpc,£50.00,£12.50,£0.00,1
2RY18783A3571674D,cpc,£50.00,£12.50,£0.00,1
2TA24049YN062323Y,cpc,£50.00,£12.50,£0.00,1
2TL43890HW327150L,cpc,£50.00,£12.50,£0.00,1
2UF35848253536610,cpc,£50.00,£12.50,£0.00,1
2UV31083XT7830945,cpc,£50.00,£12.50,£0.00,1
2VA84636XH391015S,cpc,£50.00,£12.50,£0.00,1
2VH56646C8378792M,cpc,£50.00,£12.50,£0.00,1
2VP37228CT759601C,cpc,£50.00,£12.50,£0.00,1
2VT20734G59230031,cpc,£50.00,£12.50,£0.00,1
2VT80184XW806261B,cpc,£50.00,£12.50,£0.00,1
2W289088UH3481629,cpc,£50.00,£12.50,£0.00,1
2W790391N1462703F,cpc,£50.00,£12.50,£0.00,1
2XB02859KE0151937,cpc,£50.00,£12.50,£0.00,1
2XT70464F6741191E,cpc,£50.00,£0.00,£0.00,1
2XY812335D057004U,cpc,£50.00,£12.50,£0.00,1
301601277T3094307,cpc,£50.00,£12.50,£0.00,1
30694534UU423150D,cpc,£50.00,£12.50,£0.00,1
30G83994KC439264P,cpc,£50.00,£12.50,£0.00,1
32Y31816U8146560U,cpc,£50.00,£12.50,£0.00,1
33S16543AF102503S,cpc,£50.00,£0.00,£0.00,1
34591402VK036891K,cpc,£50.00,£12.50,£0.00,1
34K620888T6401628,cpc,£50.00,£12.50,£0.00,1
34Y24202UL5686309,cpc,£50.00,£12.50,£0.00,1
37444966K3717060S,cpc,£50.00,£12.50,£0.00,1
37616704E2967231C,cpc,£50.00,£12.50,£0.00,1
37678326HL4538505,cpc,£50.00,£12.50,£0.00,1
37A322927V746703A,cpc,£50.00,£12.50,£0.00,1
38Y08651FR9321543,cpc,£50.00,£12.50,£0.00,1
39387009D0976015V,cpc,£50.00,£0.00,£0.00,1
39B24141JP6275427,cpc,£50.00,£12.50,£0.00,1
39F23587B7623241D,cpc,£50.00,£0.00,£0.00,1
3AB868602S106403G,cpc,£50.00,£12.50,£0.00,1
3AK473860E186750C,cpc,£50.00,£12.50,£0.00,1
3AM89585TF7011329,cpc,£50.00,£0.00,£0.00,1
3AY95758J2736352B,cpc,£50.00,£12.50,£0.00,1
3BD59288HK0457414,cpc,£50.00,£12.50,£0.00,1
3CP381236F3492050,cpc,£50.00,£12.50,£0.00,1
3D418792FJ4311100,cpc,£50.00,£12.50,£0.00,1
3DH92946H7507552S,cpc,£50.00,£0.00,£0.00,1
3EB491750F278780S,cpc,£50.00,£12.50,£0.00,1
3EN23759HV7434800,cpc,£50.00,£12.50,£0.00,1
3EU598576Y839063D,cpc,£50.00,£12.50,£0.00,1
3EX64373XE681403L,cpc,£50.00,£12.50,£0.00,1
3GW33151WB496442U,cpc,£50.00,£12.50,£0.00,1
3H589160JM325464E,cpc,£50.00,£12.50,£0.00,1
3K121718RD075540N,cpc,£50.00,£12.50,£0.00,1
3KB42725R5153715S,cpc,£50.00,£12.50,£0.00,1
3KG39041MJ516200W,cpc,£50.00,£12.50,£0.00,1
3KT62342YH579860A,cpc,£50.00,£12.50,£0.00,1
3M22674647824251L,cpc,£50.00,£12.50,£0.00,1
3M996257LG0929052,cpc,£50.00,£12.50,£0.00,1
3N806353X1876060E,cpc,£50.00,£12.50,£0.00,1
3NM96630AN272535C,cpc,£50.00,£12.50,£0.00,1
3NP77058TY362750G,cpc,£50.00,£12.50,£0.00,1
3PC53081W1920463X,cpc,£50.00,£12.50,£0.00,2
3PG33696AW6564623,cpc,£50.00,£12.50,£0.00,1
3PK67735FY179892L,cpc,£50.00,£0.00,£0.00,1
3R3521037E705863X,cpc,£50.00,£12.50,£0.00,1
3RM045705M231524C,cpc,£50.00,£0.00,£0.00,1
3RX09802723847320,cpc,£50.00,£0.00,£0.00,1
3SR30443YT919791D,cpc,£50.00,£0.00,£0.00,1
3TG77179RJ5053008,cpc,£50.00,£12.50,£0.00,1
3TY1568457929330E,cpc,£50.00,£12.50,£0.00,1
3TY265082E8619939,cpc,£50.00,£12.50,£0.00,1
3UA846278U9123225,cpc,£50.00,£0.00,£0.00,1
3UC50597WD5826646,cpc,£50.00,£0.00,£0.00,1
3UD53746GY422652T,cpc,£50.00,£12.50,£0.00,1
3UV10757A4853390M,cpc,£50.00,£12.50,£0.00,1
3V6553249U155145G,cpc,£50.00,£12.50,£0.00,1
3VU5990864310302W,cpc,£50.00,£0.00,£0.00,1
3VW59517KB909384N,cpc,£50.00,£0.00,£0.00,1
3XG00373XX619232M,cpc,£50.00,£12.50,£0.00,1
3XU49177DT393330R,cpc,£50.00,£12.50,£0.00,1
3XV68444R2584025B,cpc,£50.00,£12.50,£0.00,1
3Y7753947P401183X,cpc,£50.00,£12.50,£0.00,1
3YB476471G640624P,cpc,£50.00,£12.50,£0.00,1
40J15897PT220210X,cpc,£50.00,£12.50,£0.00,1
40L65193A09281833,cpc,£50.00,£12.50,£0.00,1
419037592B4696508,cpc,£50.00,£0.00,£0.00,1
41A3740683328833F,cpc,£50.00,£12.50,£0.00,1
42283963LT622091W,cpc,£50.00,£12.50,£0.00,1
42G839645A477853M,cpc,£50.00,£12.50,£0.00,2
43435740LT9360919,cpc,£50.00,£12.50,£0.00,1
44U22000BM438481U,cpc,£50.00,£12.50,£0.00,1
44U412657Y2241933,cpc,£50.00,£12.50,£0.00,1
45M400368M642551K,cpc,£50.00,£0.00,£0.00,1
45W30570K1007354A,cpc,£50.00,£12.50,£0.00,1
46T251153E7438029,cpc,£50.00,£12.50,£0.00,1
47W91316TX6828001,cpc,£50.00,£12.50,£0.00,1
48X548093N5449845,cpc,£50.00,£12.50,£0.00,1
49D86480PV949531M,cpc,£50.00,£12.50,£0.00,1
4AL22994V70070735,cpc,£50.00,£0.00,£0.00,1
4AM38112BD103963P,cpc,£50.00,£0.00,£0.00,1
4CL23767D21486522,cpc,£50.00,£12.50,£0.00,1
4D858709MB888852M,cpc,£50.00,£12.50,£0.00,1
4DK47508J07985256,cpc,£50.00,£12.50,£0.00,1
