,Transaction ID,Medium,Revenue
594,8E398985X7284115M,cpc,50.0
595,8EH14724YD023941K,cpc,50.0
596,8EL69928DP258103W,cpc,50.0
597,8EX05965JD055134M,cpc,50.0
598,8FX627416S366325Y,cpc,50.0
599,8GP27235H7134774H,cpc,50.0
600,8HC34201R2735244K,cpc,50.0
601,8HD32445K3451113B,cpc,50.0
602,8HG58982KA219000Y,cpc,50.0
603,8J572182LN7427744,cpc,50.0
604,8JH57210K1389505F,cpc,50.0
605,8K131180BL018034R,cpc,50.0
606,8K862680F9356790U,cpc,50.0
607,8L3793413B020172M,cpc,50.0
608,8LN5421619453502A,cpc,50.0
609,8LR955130S783391N,cpc,50.0
610,8LX98168UB014562X,cpc,50.0
611,8M387940T92356021,cpc,50.0
612,8M838633FN864522F,cpc,50.0
613,8ND15191H7457080P,cpc,50.0
614,8NG50739J83889918,cpc,50.0
615,8NT98466383978447,cpc,50.0
616,8NW56652AD0753331,cpc,50.0
617,8PR11639RJ826851E,cpc,50.0
618,8SC528312D344425U,cpc,50.0
619,8VC11844C45014837,cpc,50.0
620,8VJ97572YW309870D,cpc,50.0
621,8W849791U8460053T,cpc,50.0
622,8WG24391KA436623V,cpc,50.0
623,8WS21837S9788730X,cpc,50.0
624,8X111603RV5733050,cpc,50.0
625,8XN57976UL141771K,cpc,50.0
626,8XP13258E6953274C,cpc,50.0
627,8XT2091892546024H,cpc,50.0
628,8XU04421MA799820E,cpc,50.0
629,90V23976MM3079056,cpc,50.0
630,90Y53940269719409,cpc,50.0
631,91W570982Y137721H,cpc,50.0
632,92H75727XS857143Y,cpc,50.0
633,92R63530WN531544G,cpc,50.0
634,93K852923Y356820M,cpc,50.0
635,93R546061M072913T,cpc,50.0
636,94B40114TT875312X,cpc,50.0
637,95182978P5783170J,cpc,50.0
638,954148380S940660B,cpc,50.0
639,96050208434261512,cpc,50.0
640,96981959BE9605423,cpc,50.0
641,97087047ND264044X,cpc,50.0
642,97584241CL592383A,cpc,50.0
643,97F25017HJ118364F,cpc,50.0
644,97U969684X9070310,cpc,50.0
645,98B70593NB8911011,cpc,50.0
646,98F75705PE774174R,cpc,50.0
647,9B672928SH188133V,cpc,50.0
648,9CM608919S466572D,cpc,50.0
649,9DE6487526953003U,cpc,50.0
650,9DK51547BP1698511,cpc,50.0
651,9DW9548219676982L,cpc,50.0
652,9EP37441GP430692U,cpc,50.0
653,9FN29339CA3439358,cpc,50.0
654,9G2144937L727743E,cpc,50.0
655,9GC29131KA194153C,cpc,50.0
656,9GK84449GP2650526,cpc,50.0
657,9H919681N87248451,cpc,50.0
658,9H953079HY541900U,cpc,50.0
659,9HE5713230349444M,cpc,50.0
660,9HJ02574PP536184A,cpc,50.0
661,9J468922D14810508,cpc,50.0
662,9JK75026PB480210K,cpc,50.0
663,9JU181806A054760R,cpc,50.0
664,9KF18998D4167671U,cpc,50.0
665,9KL38401B8666061U,cpc,50.0
666,9L994953VY9882506,cpc,50.0
667,9LB95179WJ041724M,cpc,50.0
668,9LD16068V6835283A,cpc,50.0
669,9M10443755302860P,cpc,50.0
670,9MU78502NH854742X,cpc,50.0
671,9N8636412W6310619,cpc,50.0
672,9NA60939P4014245T,cpc,50.0
673,9R3662683H169241K,cpc,50.0
674,9RA0617513266225Y,cpc,50.0
675,9RP361193G2979914,cpc,50.0
676,9RR42664AU380371G,cpc,50.0
677,9RV46549SV004925K,cpc,50.0
678,9SB37774DG030524T,cpc,50.0
679,9SC78348FF942140D,cpc,50.0
680,9TY3337043468181R,cpc,50.0
681,9V8133757D920972R,cpc,50.0
682,9WS292070B599271G,cpc,50.0
683,9WU24405S0232830B,cpc,50.0
684,9X2313718X781653P,cpc,50.0
685,9X5845973R839203G,cpc,50.0
686,9XB97148S2356640F,cpc,50.0
687,9YX52204WR692813B,cpc,50.0
688,ICC6335082904,cpc,50.0
689,ICC6335201062,cpc,50.0
690,ICC6335218901,cpc,50.0
691,ICC6335221989,cpc,50.0
692,ICC6335327141,cpc,50.0
693,ICC6335335178,cpc,50.0
694,ICC6335401633,cpc,50.0
695,ICC6335407671,cpc,50.0
696,ICC6335624817,cpc,50.0
697,ICC6335664197,cpc,50.0
698,ICC6335714727,cpc,50.0
699,ICC6335718809,cpc,50.0
